Experiment 1_26 By Biosemi,,,,Experiment 2_29 By ANT,,,,Experiment 3_39 By BP,,,,Experiment 4_30 By ANT,,,,Experiment 5_65 By Ant,,,,Experiment 6_95 By BP,,,,Experiment 7_142 By Biosemi,,,,Experiment 8_223 By BP(Fp1 and Fp2 are damaged),,,,Experiment 9_29 By BP,,,
sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad electrode,bad epoch,bad ica,sub_id,bad epoch,bad electrode,bad ica
11,5 7,\, 1 2 3 4 6 11 12 13 20 21 23 25 27 28 29 30 31 32,11,\,\,1   3   4   6   7   8   9  10  11  12  13  16  17  18  21  24  25  26  29  30  31,11,\,\,1 2 3 4 5 9 10 14 15 19,11,\,T7 T8,1 2 3 4 6 14 19 21 24,11,\,T7 O1,1 4 5 6 7 8 9 10 18 19 20 25,11,\,Fpz Fp2 T8,2 3 4 6 7 8 9 11 18 19 21 22 33,11,\,Pz F8,1   2   3   4   5   6   7   8  10,11, T7,\,1 2 3 4 12 14 15,11,\,\,3 4 5 6 7 8 9 13 15 16 19
12,\,AF7 Fp2 AF8 F8 C6,1 2 3 4 5 6 7 8 9 10 11 12 14 15 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 35,12,113,T7 T8,1   2   3   4   5   6   7   8  10  11  12  14  15  16  17  18  19  20  22  23  24  25  27  28  29  30  31  32,12,\,\,1 7 8 26,12,\,T8 O1,1 2 3 4 5 9 10 11 12 22,12,\,M1 M2,1 2 3 4 5 10 16 21 25,12,66,Fpz Fp2,2 6 9 10 12 13 16 28 30 34 35,12,\,T8,1   2   3   4   5   6   7   9  10  11  12  15  17,12,,\,1 2 3 8 20,12,\,\,10 11 18 21
13,3 14,PO7 CP6 Cp2,1 2 3 5 6 7 9 12 13 21 22 23 24 25 28 29 31 32 34,13,\,Fp1 Fpz Fp2,1   2   3   4   6   9  10  11  12  16  17  18  19  20  21  23  24  26  27  30  31  32,13,8,\,1 2 6 7 9 10 13 14 15 17 18 19 31,13,\,T7 T8,1 2 3 4 5 7 8,13,\,M1 M2 T7 T8,1 3 4 5 6 7 8 9 10 11 14 17 20 21 24 25,13,2 36 41 42 43 46 78,Fpz Fp2,3 5 6 7 8 10 11 13 16 27 28 29 30 31,13,18,P1 P7 F8 PO4,1   2   3   4   5   6   7   8   9  10  11  13  15  24,13, T8 T7,\,1 3 4 5 6 7 11 16,13,63 96 ,\,1 5 6 7 8 9 10 11 14 16 18 24
14,\,T7 CP3 P7 P1 PO7,1 2 3 4 5 6 7 9 11 12 13 14 16 17 19 20 21 24 25 26 27 28 31 32 34,14,\,T7,1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  25  26  29  30  31  32,14,\,\,1 9 10 13 16 17 20 29,14,\,T7 M2 O1,1 2 3 4 5 6 7 8 9 12 21,14,\,T7 T8 M2,2 3 6 7 9 12 13 19 22 24 27 28 30 31 32,14,\,Fpz Fp2,4 7 8 10 13 14 15 18 19 20 22 25 29 30,14,\,\,1   2   4  20,14, T8 TP10 TP8,9 20,1 2 3 4 5 6 13 18 19,14,\,F4 F6 ,3 4 9 12 13 14 18 19 24
15,\,PO7,1 2 3 4 14 22 24 25 27 29 30 32 35,15,64,\,1   2   3   4   6   7   8  10  13  14  15  16  17  18  19  20  21  24  30  31,15,\,\,2 3 4 5 6 7 8 15 33,15,\,\,1 3 5 6 8 10,15,\,Fz M2,1 2 3 4 5 6 8 16 17 18 20 21 24,15,\,Fpz Fp2,3 4 7 10 12 14 23 27 29 31,15,\,\,1   2   4   5   6   8  17,15, T7 TP9 POz,\,1 2 9 14 17 19 20,15,\,\,1 5 6 7 8 10 13 17 18 23
16,2 5,FC1 FC6 ,1 2 3 4 5 8 10 15 19 20 21 22 23 24 25 26 27 29 32 33 35,16,\,FC5 T7,1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  22  24  25  26  30  31  32,16,8,\,1 3 4 5 8 12 13 16 17 28 29,16,11 14,Fp1 Fp2,1 2 3 4 10 14 17 18 19 20 24 25,16,\,T7 T8 M2,1 2 3 4 6 10 14,16,\,Fpz Fp2,1 5 19 23 25 26 32 33 34,16,\,P1 P7 PO7,1   2   3   5   6   8   9  11  12  13  14  15  16  18  19,16, T7 T8 TP7,1 3 4 20,1 4 6,16,113,\,1 6 8 10 14 18 19 20 24 25
17,6,Fpz Fp2,1 2 3 5 6 8 9 10 12 13 14 15 16 19 20 24 25 26 28 29 31 34,17,101,\,1   2   3   4   5   6   7   8   9  10  11  12  13  15  16  17  18  19  21  22  24  26  30  31  32,17,\,FT10,1 2 3 11 13 15 24 25 28,17,\,T7 M2,1 2 3 4 14 17 22 23 25,17,12 19 26,T7 M1 T8 M2,1 2 3 4 5 6 10,17,20 38 39 80,Fpz Fp2,1 3 4 9 10 11 13 15 18 19 20 21 25 26 27 28 33,17,\,Fp2 AF8,1   5   7   9  30,17, T7 TP10,12 14,1 2 3 5 6 9 10 12 14,17,1 3 13 20 35 42 55 68 74 78  96 100 120 125 ,\,1 3 4 6 18
18,5 9 14,T8,1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 25 26 27 28 229 32 33 34,18,\,M1 M2,1   2   3   4   5   6   7   8  10  11  18  25  27  28  29  30,18,\,\,1 2 3 4 5 9 15 17 22 28 31 32,18,7 13,T7 T8 M2 ,1 2 3 4 5 14,18,\,T7 T8 ,1 2 3 4 5 6 7 8 10 13,18,\,Fpz Fp2 T7 T8,2 12 22 29 30 32 34,18,\,\,1   2   4   7   8   9  10  14,18, F3 T7,\,4 6 8 12 14 15 19 20,18,14 25 100 ,\,2 8 10 18
19,9 11 12 13,T7 T8,1 2 3 4 5 6 7 8 9 10 11 13 16 17 18 19 21 24 25 26 27 29 31 33 35,19,24 25 26 82 83,T8 M1,1   2   3   4   5   6   7   8   9  10  12  15  20  21  22  23  24  25  26  30,19,\,T7,1 2 4 8 19 22,19,12 29 ,M1 T8,1 2 3 4 5 7 10 13 14 18,19,\,Fp2 T8,1 2 4 6 7 8 10 11 16 22 24,19,3 25 30 ,Fpz Fp2,2 6 9 11 13 14 17 21 24 27 28 29 31 35,19,19,T8,2   3   4   5   6   7  21,19, TP10 T8 Fpz,1 27 28 30,1 2 3 4 5 7 9 10 13 17 18,19,12 34 ,Tp9,1 2 3 6 7 13 14 16 18 19 20 22 24
20,11 12,F1 F3 F7 FC3 FC1 PO7 PO3 POz CPz C4 PO8 PO4 C1 C3 Oz CZ,1 2 3 4 5 6 7 8 10 11 13 14 15 17 18 19 20 23 24 26 29 30 31 34 35,20,\,T7 Fp1 Fpz Fp2,1   2   3   5   6   7   8   9  11  12  13  15  16  17  18  19  20  23  25  27  28  30  31  32,20,\,\,1 2 9 15,20,\,T7 T8,1 2 4 5 6 10 18 23 25,20,16,M1 T7 T8 M2,1 2 7 8 13 14 22 23,20,33,Fpz Fp2,1 4 6 10 14 32,20,\,P1 P7 PO7 O1,1   2   3   4   5   7  18,20, AF3 Fpz IO,21 30,1 2 3 4 13 20,20,65 117 ,\,1 4 6 10 11 13 21 22 23 25
